OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
678,15000US230310061014,461,24,166,,27240.0,0.0,0.3696098555038812,0.30595482483376835,27240.0,0.41042345143184544,0.0,0.643020593494232,0.0,0.12811387854763745,0.23843416285254745,0.09110629047482366,0.16612377796050887
679,15000US230310340022,716,47,205,56.0,68462.0,0.028901734104046242,0.08717948695595003,0.08717948695595003,68462.0,0.2837078643716071,0.05991735524810464,0.7086383591381576,0.0,0.23736263684096123,0.18461538420963652,0.054469273666942354,0.0646067413915541
680,15000US230310061023,839,105,119,,35417.0,0.20707070707070707,0.45634266811146185,0.45634266811146185,35417.0,0.6272727253719008,0.12058823493944637,0.4632152582245024,0.0,0.013377926376662453,0.3411371226048926,0.22749391699818258,0.3999999987878788
681,15000US230310061025,415,42,133,,25175.0,0.0,0.25783972035595915,0.25783972035595915,25175.0,0.2816901395225815,0.2528089873437697,0.44389027320725616,0.0,0.41353383147718925,0.14285714178302902,0.41927710742342866,0.25821596122903306
682,15000US230310051001,1803,454,227,,66250.0,0.055800293685756244,0.015299026404312898,0.015299026404312898,66250.0,0.28531073406029556,0.06730769224297337,0.7217210265636911,0.0,0.06701030920926772,0.05773195870336911,0.016638935098924605,0.02966101690725845
683,15000US230310280011,2018,577,168,,90431.0,0.08456973293768547,0.029150823790683365,0.029150823790683365,90431.0,0.18146214075527137,0.07142857136992728,0.7914230014350727,0.012378426160584944,0.14854111392701932,0.15119363381857326,0.03622828782321177,0.09660574399920921
684,15000US230310340012,990,147,321,,46809.0,0.24157303370786518,0.4261294256091216,0.3394383390238848,46809.0,0.5553191477546401,0.050724637589266965,0.6381502882795951,0.0,0.2519083964658237,0.22137404537905717,0.05454545449035813,0.0
685,15000US230310302011,1519,359,198,,32660.0,0.06511627906976744,0.11735330821803582,0.0,32660.0,0.30975954694517743,0.0952941175349481,0.7166947717397176,0.0,0.21066319868574357,0.18595578649420574,0.2291941874311795,0.328147099960188
686,15000US230310302025,990,148,69,,18864.0,0.0,0.1008902075654448,0.0,18864.0,0.4422442236926663,0.23721881342082043,0.557582667551217,0.0,0.2573726534654889,0.152815012995134,0.3838383834506683,0.6270627052358702
687,15000US230310330002,1206,375,132,,51754.0,0.0,0.09368191700722894,0.0,51754.0,0.1730769226608728,0.020344287918084056,0.7378752878315528,0.03833865808572099,0.10862619790954281,0.11821086243097306,0.03742384679075383,0.05048076910942123
688,15000US230310340017,1939,508,452,,59583.0,0.11442786069651742,0.4772117959268017,0.4684986592034191,59583.0,0.4089743584500329,0.030239833128008518,0.6292650914506134,0.0,0.20215053741704242,0.06451612896288589,0.05075090623990113,0.02564102560815253
689,15000US230310340016,341,62,111,,54926.0,0.06535947712418301,0.7619680840931276,0.7127659564989814,54926.0,0.5642458069036547,0.19999999857142858,0.4501607702567178,0.0,0.47321428148915823,0.19642856967474492,0.08206686905146848,0.1452513958365844
690,15000US230310052002,1809,258,428,,39574.0,0.3787528868360277,0.04004576654457006,0.04004576654457006,39574.0,0.3742550651081584,0.04868154153277734,0.6357188906281631,0.009594882718982001,0.15884861390314647,0.07995735599151668,0.06422018344941503,0.05840286047866167
691,15000US230310053003,1047,132,234,,36934.0,0.0,0.06226415082591669,0.0,36934.0,0.37625754451457233,0.07775768521201142,0.6043715840389382,0.025490196028450596,0.0647058822260669,0.05294117636678201,0.10124164269222383,0.12474849069467105
692,15000US230310053004,1300,205,203,,21103.0,0.05921052631578947,0.1473272488300818,0.0,21103.0,0.5122324151189107,0.019490254843342946,0.5944741527678483,0.0,0.036697247650310016,0.10244648302378213,0.24153846135266271,0.22018348590186013
693,15000US230310053001,3251,876,282,37.0,71364.0,0.015723270440251572,0.05246422889311269,0.0,71364.0,0.1300335569378913,0.07831900664836725,0.8342629478747957,0.0,0.10518134709576095,0.11036269424333539,0.11543248285145224,0.06375838920825638
694,15000US230310054002,2156,428,295,,88875.0,0.07142857142857142,0.10887573951612338,0.04023668634291516,88875.0,0.27888446178102994,0.05527638186325261,0.6560439556834923,0.0,0.10460992898527488,0.07624113468418338,0.1273946359543129,0.01328021246576333
695,15000US230310340024,1374,268,297,,63056.0,0.1781609195402299,0.06991869907330293,0.06991869907330293,63056.0,0.4230769223372781,0.037313432780129205,0.5795847745851342,0.0,0.14573643388257917,0.13643410831560604,0.09606986892571333,0.03846153839429801
696,15000US230310252021,1036,326,155,,12857.0,0.8524590163934426,0.14006514635168543,0.0,12857.0,0.2992424236756772,0.14945054912208672,0.6284530378060041,0.0,0.32816537382903005,0.28165374604223836,0.5694980689483609,0.6818181805268595
697,15000US230310303001,1428,324,207,,53947.0,0.18350515463917524,0.1707317070857294,0.05691056902857646,53947.0,0.40686274443323084,0.14574314553283818,0.5968992242920764,0.0,0.07770270257144814,0.128378378161523,0.06896551719284622,0.14542483636368492
698,15000US230310303003,692,130,125,42.0,55451.0,0.5777777777777777,0.12937062891828452,0.12937062891828452,55451.0,0.4297188737762294,0.06284152988294664,0.6443661960486511,0.0,0.12827988300793036,0.2186588914907904,0.1777456644830265,0.21285140476766504
699,15000US230099655031,686,77,255,,63750.0,0.11214953271028037,0.1965174124464741,0.0,63750.0,0.541795663957289,0.10784313699058054,0.6548956650804243,0.0,0.07142857123233909,0.12362637328674074,0.06295754017136525,0.09907120712361855
