OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_poverty
688,15000US230050017002,1867,277,220,36.4,77875.0,0.040152963671128104,0.0,0.0,77875.0,0.22631578917590028,0.10712372784835365
689,15000US230050017003,637,72,136,44.5,74554.0,0.0,0.0,0.0,74554.0,0.2881355922436082,0.02511773936402239
690,15000US230050017004,1067,216,22,34.8,68750.0,0.0970873786407767,0.0,0.0,68750.0,0.052896725307564924,0.12652296145592973
691,15000US230050020021,1430,202,124,38.6,42476.0,0.13025210084033614,0.15177478561594274,0.0,42476.0,0.23232323198798957,0.13146853137659542
692,15000US230050017001,1201,227,81,35.6,75682.0,0.0,0.047297297217403216,0.0,75682.0,0.16312056708666567,0.0333055786566981
693,15000US230050018001,1485,123,336,39.6,49384.0,0.02976190476190476,0.0,0.0,49384.0,0.4348925405374304,0.07542087537008695
694,15000US230050018002,1032,99,275,49.6,69844.0,0.02364066193853428,0.19534883690643592,0.04651162783486569,69844.0,0.30635838091260426,0.03003875966081515
695,15000US230050018003,1214,195,104,34.7,55603.0,0.034482758620689655,0.019157088085905962,0.019157088085905962,55603.0,0.17578124965667724,0.009060955511481913
696,15000US230050019001,856,144,234,49.5,42750.0,0.13215859030837004,0.14285714261126137,0.0,42750.0,0.3995983927718908,0.1337499998328125
697,15000US230050019002,1278,163,117,43.1,74107.0,0.0,0.05677655667257041,0.0,74107.0,0.14951456281647657,0.1588419404077919
698,15000US230110108022,1750,444,192,41.7,51406.0,0.09796672828096119,0.03684879283754918,0.03684879283754918,51406.0,0.2401055405803357,0.17714285704163263
699,15000US230110108023,615,152,63,30.0,43036.0,0.5294117647058824,0.15424164484770786,0.0,43036.0,0.27963525750870744,0.17073170703946064
700,15000US230110109001,954,251,110,34.3,35435.0,0.2608695652173913,0.01228501225482798,0.0,35435.0,0.3109452728583451,0.2924528298821249
701,15000US230110145001,1281,211,183,47.9,55286.0,0.16631578947368422,0.35128805579474465,0.3114754094713403,55286.0,0.30324909692554314,0.039401103199841525
702,15000US230110150001,1507,416,129,41.0,55833.0,0.12,0.16590563140653633,0.1385083711742643,55833.0,0.2572992696034685,0.08634538146830964
703,15000US230110109002,879,231,98,44.0,43125.0,0.17307692307692307,0.12177985919957879,0.0,43125.0,0.17599999953066667,0.3481228664981537
704,15000US230110110004,929,268,132,44.3,58167.0,0.22772277227722773,0.04509283807667682,0.04509283807667682,58167.0,0.30555555470679013,0.04090419801840237
705,15000US230110110003,739,194,56,34.4,59402.0,0.3073394495412844,0.13981762875435372,0.03647416402287488,59402.0,0.16607773792905392,0.1434370769371623
706,15000US230110110005,529,84,131,50.9,64167.0,0.45248868778280543,0.24675324595209985,0.10064935032256704,64167.0,0.35775861914759216,0.0
707,15000US230110110001,553,68,70,29.8,43864.0,0.14184397163120568,0.10280373799749615,0.0,43864.0,0.2048611103997878,0.10669077738392264
708,15000US230010105001,808,222,46,27.1,36875.0,0.06382978723404255,0.15420560711634204,0.0,36875.0,0.13535911564817923,0.42690814951240863
709,15000US230010102001,1041,128,171,35.70000000000001,24120.0,0.40625,0.31884057919671405,0.0,24120.0,0.2127659569438157,0.4160942096014777
710,15000US230010209003,1469,446,274,37.7,54632.0,0.18214285714285713,0.0846153844852071,0.0,54632.0,0.38991596573123366,0.05309734509659813
711,15000US230010102003,1902,356,328,45.9,70104.0,0.15041322314049588,0.18661971809082192,0.021126760538583613,70104.0,0.3838383832845045,0.02485207099121179
712,15000US230010465004,1817,560,235,33.9,51111.0,0.173109243697479,0.06901615261524795,0.0411160058133392,51111.0,0.2965299679865458,0.04055555553302469
713,15000US230010202002,775,212,78,31.3,37690.0,0.27071823204419887,0.0,0.0,37690.0,0.25507246302877545,0.19354838684703435
714,15000US230010301001,2330,410,282,42.4,41364.0,0.40801001251564456,0.0853994489573926,0.008264462802328317,41364.0,0.26807228888747764,0.12456896546354787
715,15000US230010450001,2064,431,244,40.7,51429.0,0.1719939117199391,0.10011248582664513,0.05286839139159911,51429.0,0.2812499996484375,0.12758620683370137
716,15000US230010206002,1471,435,279,39.5,53271.0,0.15178571428571427,0.05871886110548245,0.0,53271.0,0.3213610579936464,0.24808895048777693
717,15000US230010101001,999,37,118,38.6,14353.0,0.0,0.09919028320001967,0.0,14353.0,0.33707865092791317,0.3225806445831888
718,15000US230010460001,2080,454,276,41.6,55833.0,0.2578125,0.19281437102656962,0.1365269459442791,55833.0,0.17507418371650715,0.08221153842201369
719,15000US230010204002,684,164,58,38.5,16495.0,0.6944444444444444,0.0,0.0,16495.0,0.29749103836024715,0.4707602332298827
720,15000US230010107001,798,147,108,41.5,38370.0,0.3881118881118881,0.06954436434162023,0.0,38370.0,0.24742267977468382,0.14661654116965345
721,15000US230139704002,2416,596,228,34.2,54583.0,0.10158311345646438,0.11184939079529414,0.0,54583.0,0.22069825408890492,0.07146306128852581
722,15000US230139704005,1342,364,160,38.4,46289.0,0.11678832116788321,0.02083333329716435,0.02083333329716435,46289.0,0.2393617017032594,0.11400894179283982
723,15000US230139703003,1533,378,224,44.3,41167.0,0.2124248496993988,0.20893561076355374,0.1695137974119398,41167.0,0.36378737481098444,0.16112198293468885
724,15000US230139704001,2233,473,248,42.0,45625.0,0.20330368487928843,0.14187866913710503,0.037181996049724074,45625.0,0.2531356895631292,0.10941828249796016
725,15000US230139704003,474,64,22,43.6,58397.0,0.3045977011494253,0.1467889901523441,0.0,58397.0,0.24193548257023934,0.1877637126840428
726,15000US230139704004,1076,186,153,46.0,52670.0,0.0,0.14761904738473167,0.017460317432602672,52670.0,0.3631284909438948,0.05390334567481101
